Label;fullname;lat;group;Abbrev
All;Thalamus;Both;Thalamus;Tha
1;Accumbens;Left;DGN;Acb
2;Caudate;Left;DGN;Cd
3;Claustrum;Left;DGN;CI
4;lateral-geniculate;Left;Thalamus;LGN
5;medial-geniculate;Left;Thalamus;MGN
6;Pallidum-external;Left;DGN;GPe
7;Pallidum-internal;Left;DGN;GPi
9;Putamen;Left;DGN;PuT
10;Red-nucleus;Left;DGN;RN
11;Sub-thalamic;Left;DGN;STh
12;Substancia-nigra;Left;DGN;SN
14;anterior;Left;Thalamus;AV
15;lateral;Left;Thalamus;LT
16;medial;Left;Thalamus;MT
17;lateral-posterior;Left;Thalamus;LP
18;caudatolenticar bridges;Left;DGN;Clb
19;posterior;Left;Thalamus;Po
20;pulvinar-anterior;Left;Thalamus;PuA
26;centromedian;Left;Thalamus;CM
27;mediodorsal;Left;Thalamus;MD
28;Central-Lateral;Left;Thalamus;CL
29;pulvinar;Left;Thalamus;Pu
30;Habenula;Left;DGN;Hb
31;MTT;Left;DGN;mtt
51;Accumbens;Right;DGN;Acb
52;Caudate;Right;DGN;Cd
53;Claustrum;Right;DGN;CI
54;lateral-geniculate;Right;Thalamus;LGN
55;medial-geniculate;Right;Thalamus;MGN
56;Pallidum-external;Right;DGN;GPe
57;Pallidum-internal;Right;DGN;GPi
59;Putamen;Right;DGN;PuT
60;Red-nucleus;Right;DGN;RN
61;Sub-thalamic;Right;DGN;STh
62;Substancia-nigra;Right;DGN;SN
64;anterior;Right;Thalamus;AV
65;lateral;Right;Thalamus;LT
66;medial;Right;Thalamus;MT
67;lateral-posterior;Right;Thalamus;LP
68;caudatolenticar bridges;Right;DGN;Clb
69;posterior;Right;Thalamus;Po
70;pulvinar-anterior;Right;Thalamus;PuA
76;centromedian;Right;Thalamus;CM
77;mediodorsal;Right;Thalamus;MD
78;Central-Lateral;Right;Thalamus;CL
79;pulvinar;Right;Thalamus;Pu
80;Habenula;Right;DGN;Hb
81;MTT;Right;DGN;mtt
